,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Naryan-Mar,18,RU,1573177318,95,67.67,53.09,7.9,4.99
1,Mataura,37,NZ,1573176928,39,-46.19,168.86,68.45,11.21
2,Makakilo City,75,US,1573177043,62,21.35,-158.09,84.2,10.29
3,Redmond,1,US,1573177097,66,47.67,-122.12,53.6,2.17
4,Haines Junction,100,CA,1573177358,98,60.75,-137.51,32.94,1.68
5,Kingman,1,US,1573177368,11,35.19,-114.05,80.6,12.75
6,Cockburn Town,0,TC,1573177145,78,21.46,-71.14,82.53,17.69
7,New Norfolk,75,AU,1573177133,66,-42.78,147.06,48.2,23.04
8,Waipawa,0,NZ,1573177398,38,-39.94,176.59,79.03,4.97
9,Kaitangata,62,NZ,1573177234,73,-46.28,169.85,56.43,18.48
